subsampleID	biosample	sequencingrun	subsamplename
N369Barcode_705-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-506
N369Barcode_701-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-515
N369Barcode_711-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-513
N369Barcode_712-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-505
N369Barcode_711-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-503
N369Barcode_702-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-522
N369Barcode_714-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-511
N369Barcode_712-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-513
N369Barcode_715-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-522
N369Barcode_715-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-505
N369Barcode_722-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-513
N369Barcode_703-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-507
N369Barcode_704-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-517
N369Barcode_702-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-511
N369Barcode_705-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-521
N369Barcode_704-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-518
N369Barcode_715-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-513
N369Barcode_719-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-513
N369Barcode_710-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-511
N369Barcode_712-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-521
N369Barcode_716-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-511
N369Barcode_711-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-508
N369Barcode_718-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-502
N369Barcode_705-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-502
N369Barcode_721-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-510
N369Barcode_710-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-506
N369Barcode_706-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-522
N369Barcode_722-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-510
N369Barcode_701-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-505
N369Barcode_721-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-507
N369Barcode_718-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-517
N369Barcode_720-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-517
N369Barcode_716-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-510
N369Barcode_703-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-511
N369Barcode_710-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-510
N369Barcode_705-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-511
N369Barcode_719-516	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-516
N369Barcode_721-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-503
N369Barcode_714-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-518
N369Barcode_712-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-517
N369Barcode_716-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-507
N369Barcode_722-517	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-517
N369Barcode_715-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-503
N369Barcode_712-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-506
N369Barcode_718-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-506
N369Barcode_716-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-508
N369Barcode_710-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-513
N369Barcode_722-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_722-518
N369Barcode_706-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-505
N369Barcode_718-505	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-505
N369Barcode_707-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-518
N369Barcode_721-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-511
N369Barcode_711-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-511
N369Barcode_710-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-518
N369Barcode_711-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-515
N369Barcode_719-520	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-520
N369Barcode_705-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-507
N369Barcode_712-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-510
N369Barcode_716-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-521
N369Barcode_704-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-515
N369Barcode_719-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-507
N369Barcode_703-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-522
N369Barcode_719-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-510
N369Barcode_721-520	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-520
N369Barcode_705-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_705-522
N369Barcode_704-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-503
N369Barcode_704-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-522
N369Barcode_702-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-510
N369Barcode_701-520	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_701-520
N369Barcode_702-520	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-520
N369Barcode_711-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_711-506
N369Barcode_719-502	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_719-502
N369Barcode_706-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-518
N369Barcode_704-513	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-513
N369Barcode_716-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-506
N369Barcode_707-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_707-506
N369Barcode_702-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_702-503
N369Barcode_712-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_712-507
N369Barcode_720-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-507
N369Barcode_721-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_721-508
N369Barcode_706-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-503
N369Barcode_710-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-515
N369Barcode_718-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-521
N369Barcode_706-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-511
N369Barcode_720-515	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_720-515
N369Barcode_704-508	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-508
N369Barcode_704-521	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_704-521
N369Barcode_715-511	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_715-511
N369Barcode_718-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_718-503
N369Barcode_706-510	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_706-510
N369Barcode_710-522	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_710-522
N369Barcode_714-507	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-507
N369Barcode_716-518	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_716-518
N369Barcode_714-506	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_714-506
N369Barcode_703-503	/scratch/users/wanxinw/ERA_batch4_run13	170306_NS500126_0669_AHC5YFBGX2	N369Barcode_703-503
